"Event ID","System Name","Start Time","End Time","Time(ms)","Command","Event Type","Status","Local IP","Local Port","Remote IP","Remote Port","User","Virtual Path","File Size","Remarks"
"iedm2c80_511173545","iedm2c80","8/22/26 5:48:37 p.m.","8/22/26 5:48:37 p.m.","2","Login","Login Successful","I","155.15.250.5","10022","209.121.109.61","52314","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
"iedm2c80_511173546","iedm2c80","8/22/26 5:48:37 p.m.","8/22/26 5:48:38 p.m.","176","Upload","Upload Successful","I","155.15.250.5","10022","209.121.109.61","52314","HZVa","/UPLOAD/HZV000530.txt","1,280","File was uploaded successfully"
"iedm2c80_511173547","iedm2c80","8/22/26 5:48:38 p.m.","8/22/26 5:48:38 p.m.","0","Disconnect","Disconnect","I","155.15.250.5","10022","209.121.109.61","52314","HZVa","","0","Disconnected"
"iedm2c80_511210548","iedm2c80","8/22/26 8:29:46 p.m.","8/22/26 8:29:46 p.m.","0","Disconnect","Disconnect","I","155.15.250.5","10022","209.121.109.61","63104","HZVa","","0","Disconnected"
"iedm2d80_150764464","iedm2d80","8/22/26 8:31:04 p.m.","8/22/26 8:31:04 p.m.","2","Login","Login Successful","I","155.15.250.6","10022","209.121.109.61","62867","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
"iedm2d80_150764465","iedm2d80","8/22/26 8:31:05 p.m.","8/22/26 8:31:05 p.m.","1","Disconnect","Disconnect","I","155.15.250.6","10022","209.121.109.61","62867","HZVa","","0","Disconnected"
"iedm2d80_150764552","iedm2d80","8/22/26 8:33:23 p.m.","8/22/26 8:33:23 p.m.","3","Login","Login Successful","I","155.15.250.6","10022","209.121.109.61","54572","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
"iedm2d80_150764553","iedm2d80","8/22/26 8:33:24 p.m.","8/22/26 8:33:24 p.m.","176","Upload","Upload Successful","I","155.15.250.6","10022","209.121.109.61","54572","HZVa","/UPLOAD/HZV000530.txt","1,280","File was uploaded successfully"
"iedm2d80_150764554","iedm2d80","8/22/26 8:33:24 p.m.","8/22/26 8:33:24 p.m.","0","Disconnect","Disconnect","I","155.15.250.6","10022","209.121.109.61","54572","HZVa","","0","Disconnected"
"iedm2c80_511426225","iedm2c80","8/23/26 12:55:52 p.m.","8/23/26 12:55:52 p.m.","2","Login","Login Successful","I","155.15.250.5","10022","209.121.109.61","61462","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
"iedm2c80_511426231","iedm2c80","8/23/26 12:55:53 p.m.","8/23/26 12:55:53 p.m.","186","Download","Download Successful","I","155.15.250.5","10022","209.121.109.61","61462","HZVa","/DOWNLOAD/HZV-20260823000616274-HZV000530_1.txt","77","File download successful"
"iedm2c80_511426233","iedm2c80","8/23/26 12:55:53 p.m.","8/23/26 12:55:54 p.m.","163","Download","Download Successful","I","155.15.250.5","10022","209.121.109.61","61462","HZVa","/DOWNLOAD/HZV-20260823000606465-HZV000530.txt","75","File download successful"
"iedm2c80_511426232","iedm2c80","8/23/26 12:55:54 p.m.","8/23/26 12:55:54 p.m.","0","Disconnect","Disconnect","I","155.15.250.5","10022","209.121.109.61","61462","HZVa","","0","Disconnected"
"iedm2d80_150810752","iedm2d80","8/23/26 1:01:56 p.m.","8/23/26 1:01:56 p.m.","5","Login","Login Successful","I","155.15.250.6","10022","209.121.109.61","58049","HZVa","","0","User 'HZVa' logged in with a password and the public key 'fd:70:8a:4b:37:fd:92:e4:2e:42:36:90:88:7b:e1:cc'"
